Cognomi,Numero
FEDERICO,18
FRAU,18
GLORIA,18
GRAVINA,18
GUGLIELMO,18
IMPELLIZZERI,18
KHAN,18
LANZA,18
LITTI,18
LO RIZZO,18
MANTA,18
MAROCCIA,18
MARUCCIO,18
MARULLO,18
MARZILIANO,18
MASCIALINO,18
MICALI,18
MILO,18
MIRARCO,18
MONTEFERRO,18
MONTICCHIO,18
MUSARO',18
NANNI,18
PAOLELLI,18
PICCOLO,18
PICI,18
PORTULANO,18
REFOLO,18
SACQUEGNO,18
SCARCELLA,18
SCHILARDI,18
SCRIMITORE,18
TOTARO FILA,18
TRINCHERA,18
VASCONCELLI,18
WAGNE,18
ACCOTO,17
AGROSI',17
ALFIERI,17
BOSCO,17
CAMARDA,17
CAMPANELLI,17
CARELLA,17
CARRIERO,17
CASARANO,17
CAVALIERI,17
COLANGELI,17
CORICCIATI,17
COSENTINO,17
CUASAY,17
DE BENEDITTIS,17
DE ROBERTIS,17
FILONI,17
FLAMINIO,17
FOGGETTI,17
FRAGOLA,17
GIARDINO,17
GRIECO,17
HU,17
IMPARATO,17
LANZALONGA,17
LEGARI,17
LOLLI,17
LOTTERIA,17
LUCHENA,17
MAGNO,17
MAKOVIC,17
MALERBA,17
MALLIA,17
MANIGLIA,17
MANNA,17
MASCIULLO,17
MATTIA,17
MONTICELLI CUGGIO',17
MURATI,17
NGOM,17
NOCERA,17
PALERMO,17
PANARESE,17
PANDURINO,17
PELLECCHIA,17
PETRINI,17
PILIEGO,17
RATANO,17
RENIS,17
SARCINELLA,17
SEMA,17
SERRATI',17
SFORZA,17
SIMONETTI,17
STAJANO,17
TANELLI,17
TEMPESTA,17
VECCHIO,17
VENTICINQUE,17
VETRANO,17
VIGNERI,17
ZANZARELLA,17
NOVEMBRE,16
AMPOLO,16
ANDRIOLI,16
ANTONAZZI,16
ARSENIO,16
BISANTI,16
BRATTELLI,16
BROCCA,16
CALABRO,16
CALVO,16
CARATI,16
CARCAGNI,16
CARONE,16
CARRATTA,16
CENERINI,16
CIACCIA,16
CINO,16
CISOTTA,16
CORIGLIANO,16
CRISTOFALO,16
DAINI,16
DE FABRIZIO,16
DE MARTINO,16
DE PASQUALE,16
DE RAHO,16
DELL'ANGELO CUSTODE,16
D'ERCOLE,16
FESTA,16
FRASCARO,16
GEUSA,16
GIACCARI,16
GRIMALDI,16
GUIDATO,16
GUSTAPANE,16
IULIANO,16
LA GIOIA,16
LATERZA,16
LATORRE,16
LENTI,16
LI,16
LIU,16
LORIO,16
MADDALO,16
MANCINO,16
MANDORINO,16
MASANGCAY,16
MENDUNI,16
MONTANARO,16
MONTEFIORE,16
MUGO,16
MUSCOGIURI,16
PAGLIARO,16
PERROTTA,16
QUARTA COLOSSO,16
RAMUNDO,16
RANFONI,16
REALE,16
RISTA,16
SALJAJ,16
SAVA,16
SCIALPI,16
SCUPOLA,16
SPONGANO,16
STERLICCHIO,16
STRAFELLA,16
SUPPA,16
TAMBORINO,16
TAMBURRANO,16
TESE',16
VALENTINO,16
VENNERI,16
VESPUCCI,16
ZABINI,16
ZACCHINO,16
ZIZZARI,16
AIUTO,15
ALBANI,15
ALI,15
ALOISI,15
AMATI,15
BABBO,15
BANDELLO,15
BARCHETTI,15
BENEGIAMO,15
BERNABEI,15
BOZZI COLONNA,15
BRIGANTE,15
BRUNETTA,15
BRUNI,15
CARATA,15
CARUSO,15
CESARI,15
CHIRICO,15
COCOLA,15
CORVINO,15
COSTANTINO,15
D'ANNA,15
D'ATRI,15
DE PAOLA,15
DE VITA,15
DELLA GATTA,15
DELLA VALLE,15
DIAGNE,15
DONADEO,15
D'URSO,15
DZEMAILI,15
FINA,15
FINO,15
FLORIO,15
FRACELLA,15
GAMMARIELLO,15
GHIONNA,15
LEACI,15
MAGLIE,15
MAGRI',15
MANGANARO,15
MANIERI,15
MANZONE,15
MASTRIA,15
MATERA,15
MELLONE,15
MERAZZI,15
MICATI,15
MODONI,15
MONSELLATO,15
NICAZZA,15
NOTARPIETRO,15
OLIVA,15
OSTUNI,15
PANO,15
PETRUZZELLI,15
PIRAZZO,15
PITOTTI,15
PORTACCIO,15
POTERA,15
PUSCIO,15
PUZZOVIO,15
RANGO,15
ROTONDO,15
RUGGE,15
SANAPO,15
SCARASCIA,15
SERINELLI,15
SOLIDORO,15
SPENNATO,15
TANGOLO,15
TRAMIS,15
VETERE,15
ZIMARI,15
ADAMO,14
ALLEGRETTI,14
ANGELELLI,14
ANTONICA,14
ARACLIO,14
ARDITO,14
ASTRO,14
AUGENTI,14
BACILE DI CASTIGLIONE,14
BARBARA,14
BENE,14
BENEDETTI,14
BOMBA,14
CALCARELLA,14
CANTELMO,14
CAROFALO,14
CARPINELLO,14
CARRATU',14
CHIFFI,14
CHIRONE,14
CIRIOLO,14
COLAGIORGIO,14
CORPUS,14
CURRI,14
DATINGUINOO,14
DE LAPIS,14
DE MAGGIO,14
DE MARIA,14
DE MARIANIS,14
DE MATTIA,14
DE PACE,14
DE TRANE,14
DENUCCIO,14
DI MAGGIO,14
DINOI,14
D'IPPOLITO,14
DO,14
FIORETTI,14
FIUME,14
FORESTA,14
FOTI,14
GALASSO,14
GIANNACCARI,14
GIUSTIZIERI,14
HAJDARI,14
HASANI,14
IURLARO,14
KRUSEVCI,14
LANDOLFO,14
LOVINO,14
MAGGIOTTO,14
MANDURINO,14
MANGIULLO,14
MARCUCCIO,14
MECAJ,14
MELORIO,14
MICCOLIS,14
MONTEFORTE,14
MONTESARDO,14
NUTRICATI BRIGANTI,14
NUZZOLI,14
ORLANDINI,14
OUACIF,14
PAGLIALUNGA,14
PASSASEO,14
PIETRA,14
PRIORE,14
PROTO,14
RAGGIO,14
RANIERI,14
RICCIATO,14
RIZZI,14
ROMITO,14
SANSEVERINO,14
SCURO,14
SERRANO,14
SERVODIO,14
SETTEMBRINI,14
SPANO,14
STIFANELLI,14
TANWAR,14
TOURE,14
TRAFICANTE,14
VARRATTA,14
VITARELLI,14
ZONNO,14
ZUCCARO,14
ARAMINI,13
BANDELLI,13
BARLAFANTE,13
BIANCHI,13
BIONDI,13
BISCUSO,13
BUCATO CAPOZZA,13
BUCCOLIERI,13
BUONO,13
CAGGIA,13
CALANGI,13
CIMMINO,13
CORLETO,13
CORTESE,13
COTA,13
CUKANI,13
DE LEONARDIS,13
DE LUCIA,13
DEL VECCHIO,13
DELLA DUCATA,13
DELLE SITE,13
DELL'ONZE,13
DIMA,13
FANCIULLO,13
FARAONE,13
FIORETTO,13
